,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDCHF,Short Swap AUDCHF
2005-03-07,5.25,0.6,0.72,2.0133333333333333e-05,-2.094017094017094e-05
2005-03-08,5.3,0.55,0.7,2.028218694885362e-05,-2.1153846153846154e-05
2005-03-09,5.26,0.59,0.74,2.0056798012069578e-05,-2.0982905982905986e-05
2005-03-10,5.42,0.62,0.72,2.033575631706473e-05,-2.0928462709284625e-05
2005-03-11,5.25,0.58,0.73,2.008888888888889e-05,-2.1025641025641025e-05
2005-03-12,5.35,0.6,0.74,2.016622922134733e-05,-2.099236641221374e-05
2005-03-13,5.35,0.6,0.74,2.016622922134733e-05,-2.099236641221374e-05
2005-03-14,5.45,0.56,0.71,2.041343669250646e-05,-2.1212121212121215e-05
2005-03-15,5.3,0.67,0.72,2.0194003527336863e-05,-2.0695504664970313e-05
2005-03-16,5.3,0.61,0.71,2.023809523809524e-05,-2.094995759117896e-05
2005-03-17,5.47,0.62,0.72,2.0393268074875492e-05,-2.0980194696206777e-05
2005-03-18,5.31,0.61,0.75,2.0073956682514528e-05,-2.0960365853658538e-05
2005-03-19,5.45,0.63,0.73,2.0327304048234283e-05,-2.0865139949109417e-05
2005-03-20,5.44,0.63,0.73,2.0315734989648036e-05,-2.0907098297083125e-05
2005-03-21,5.29,0.63,0.72,2.0181946652534887e-05,-2.085457016649677e-05
2005-03-22,5.26,0.59,0.72,2.0145544905928292e-05,-2.0993343573988735e-05
2005-03-23,5.21,0.61,0.75,1.9949901592413674e-05,-2.085483316133471e-05
2005-03-24,5.23,0.6,0.75,1.9975031210986267e-05,-2.091906721536351e-05
2005-03-25,5.4,0.62,0.77,2.0095486111111108e-05,-2.0854700854700854e-05
2005-03-26,5.4,0.69,0.83,1.9835069444444443e-05,-2.0555555555555558e-05
2005-03-27,5.4,0.69,0.83,1.9835069444444443e-05,-2.0555555555555558e-05
2005-03-28,5.25,0.66,0.8,1.9777777777777774e-05,-2.068376068376068e-05
2005-03-29,5.45,0.67,0.81,1.9982773471145564e-05,-2.074915824915825e-05
2005-03-30,5.28,0.68,0.82,1.972753007784855e-05,-2.063127445975838e-05
2005-03-31,5.5,0.66,0.76,2.0256410256410255e-05,-2.0843776106934e-05
2005-04-01,5.5,0.61,0.74,2.034188034188034e-05,-2.105263157894737e-05
2005-04-02,5.46,0.66,0.76,2.020983832129343e-05,-2.074864498644986e-05
2005-04-03,5.46,0.66,0.76,2.020983832129343e-05,-2.074864498644986e-05
2005-04-04,5.38,0.67,0.77,2.0071403692093346e-05,-2.0780961957432548e-05
2005-04-05,5.47,0.61,0.76,2.022153529108707e-05,-2.102215508559919e-05
2005-04-06,5.35,0.61,0.76,2.0078740157480316e-05,-2.0897435897435897e-05
2005-04-07,5.23,0.65,0.71,2.01533797039415e-05,-2.070473251028807e-05
2005-04-08,5.38,0.65,0.79,1.9984326018808775e-05,-2.0758890590437297e-05
2005-04-09,5.43,0.67,0.77,2.0131328840504578e-05,-2.0673813169984683e-05
2005-04-10,5.43,0.67,0.77,2.0131328840504578e-05,-2.0673813169984683e-05
2005-04-11,5.25,0.62,0.75,2e-05,-2.0854700854700854e-05
2005-04-12,5.26,0.63,0.77,1.9923677671281502e-05,-2.0822665983956305e-05
2005-04-13,5.25,0.67,0.81,1.973333333333333e-05,-2.064102564102564e-05
2005-04-14,5.28,0.63,0.69,2.0302547770700638e-05,-2.0843968010889908e-05
2005-04-15,5.29,0.64,0.74,2.0093623034799505e-05,-2.0812096500169895e-05
2005-04-16,5.46,0.68,0.74,2.0295837633298933e-05,-2.0663956639566396e-05
2005-04-17,5.46,0.68,0.74,2.0295837633298933e-05,-2.0663956639566396e-05
