,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDNZD,Short Swap AUDNZD
2005-04-16,5.46,6.7,6.8,-5.761953904368763e-06,4.827235772357725e-06
2005-04-17,5.46,6.7,6.8,-5.761953904368763e-06,4.827235772357725e-06
2005-04-18,5.27,6.56,6.86,-7.044125465178099e-06,4.4308111792774355e-06
2005-04-19,5.27,6.64,6.94,-7.398546872231089e-06,4.771642808452628e-06
2005-04-20,5.27,6.65,6.95,-7.442849548112708e-06,4.8142467620995285e-06
2005-04-21,5.33,6.75,6.95,-7.109004739336493e-06,4.93920972644377e-06
2005-04-22,5.27,6.47,6.77,-6.645401382243486e-06,4.047375596455349e-06
2005-04-23,5.48,6.65,6.84,-5.829903978052121e-06,4.517055048969944e-06
2005-04-24,5.48,6.65,6.84,-5.829903978052121e-06,4.517055048969944e-06
2005-04-25,5.31,6.45,6.75,-6.3391442155309075e-06,3.768631436314365e-06
2005-04-26,5.48,6.5,6.8,-5.658436213991764e-06,3.7878787878787908e-06
2005-04-27,5.32,6.52,6.82,-6.592827004219408e-06,4.016573651276846e-06
2005-04-28,5.29,6.49,6.79,-6.624271330153685e-06,4.034998301053348e-06
2005-04-29,5.27,6.6,6.83,-6.911217437533232e-06,4.601226993865029e-06
2005-04-30,5.28,6.69,6.79,-6.679051663128093e-06,5.186899862825791e-06
2005-05-01,5.28,6.69,6.79,-6.679051663128093e-06,5.186899862825791e-06
2005-05-02,5.46,6.67,6.82,-5.847953216374269e-06,4.70020325203252e-06
2005-05-03,5.27,6.44,6.74,-6.512493354598624e-06,3.919563735514658e-06
2005-05-04,5.45,6.51,6.81,-5.85701981050818e-06,4.217791411042948e-06
2005-05-05,5.43,6.51,6.81,-5.9616381544841885e-06,3.926038500506583e-06
2005-05-06,5.29,6.49,6.79,-6.624271330153685e-06,4.034998301053348e-06
2005-05-07,5.45,6.7,6.8,-5.813953488372091e-06,4.385964912280703e-06
2005-05-08,5.45,6.7,6.8,-5.813953488372091e-06,4.385964912280703e-06
2005-05-09,5.31,6.47,6.77,-6.427187885191057e-06,3.853319783197831e-06
2005-05-10,5.31,6.49,6.79,-6.515231554851206e-06,3.938008130081302e-06
2005-05-11,5.27,6.47,6.77,-6.645401382243486e-06,4.047375596455349e-06
2005-05-12,5.29,6.49,6.79,-6.624271330153685e-06,4.034998301053348e-06
2005-05-13,5.27,6.54,6.84,-6.955520113414851e-06,4.34560327198364e-06
2005-05-14,5.43,6.72,6.8,-5.918437878002422e-06,4.812563323201618e-06
2005-05-15,5.43,6.72,6.8,-5.918437878002422e-06,4.812563323201618e-06
2005-05-16,5.31,6.6,6.84,-6.735340729001585e-06,4.403794037940377e-06
2005-05-17,5.3,6.55,6.85,-6.834215167548501e-06,4.2408821034775245e-06
2005-05-18,5.27,6.52,6.82,-6.866914761651608e-06,4.2603953646898436e-06
2005-05-19,5.26,6.57,6.82,-6.922257720979769e-06,4.5229561358593644e-06
2005-05-20,5.27,6.54,6.84,-6.955520113414851e-06,4.34560327198364e-06
2005-05-21,5.4,6.7,6.89,-6.467013888888885e-06,4.67880627212949e-06
2005-05-22,5.42,6.72,6.87,-6.273797161647628e-06,4.862168104177235e-06
2005-05-23,5.44,6.71,6.86,-6.124913733609387e-06,4.969418960244646e-06
2005-05-24,5.28,6.7,6.9,-7.165605095541403e-06,4.977029096477792e-06
2005-05-25,5.29,6.52,6.82,-6.756756756756756e-06,4.1624193000339765e-06
2005-05-26,5.28,6.51,6.81,-6.767515923566873e-06,4.168793602177978e-06
2005-05-27,5.29,6.52,6.82,-6.756756756756756e-06,4.1624193000339765e-06
2005-05-28,5.4,6.7,6.89,-6.467013888888885e-06,4.67880627212949e-06
2005-05-29,5.43,6.7,6.89,-6.307240366338347e-06,4.728132387706857e-06
2005-05-30,5.29,6.57,6.82,-6.756756756756756e-06,4.374787631668369e-06
2005-05-31,5.46,6.57,6.82,-5.847953216374269e-06,4.179331306990879e-06
2005-06-01,5.27,6.57,6.82,-6.866914761651608e-06,4.473415132924338e-06
2005-06-02,5.4,6.54,6.84,-6.249999999999996e-06,4.34560327198364e-06
2005-06-03,5.28,6.53,6.83,-6.855980184005658e-06,4.302999318336744e-06
2005-06-04,5.45,6.88,6.98,-6.5891472868217075e-06,5.640373197625108e-06
2005-06-05,5.43,6.88,6.98,-6.69604285467427e-06,5.488010807159741e-06
2005-06-06,5.26,6.56,6.86,-7.099751508697195e-06,4.480286738351257e-06
2005-06-07,5.27,6.52,6.82,-6.866914761651608e-06,4.2603953646898436e-06
2005-06-08,5.27,6.78,6.93,-7.354244196349458e-06,5.368098159509208e-06
2005-06-09,5.27,6.59,6.84,-6.955520113414851e-06,4.558623040218134e-06
2005-06-10,5.43,6.8,7.0,-6.782443407637808e-06,5.150287065180682e-06
2005-06-11,5.43,6.88,7.07,-7.084845343010201e-06,5.287009063444104e-06
2005-06-12,5.43,6.88,7.07,-7.084845343010201e-06,5.287009063444104e-06
2005-06-13,5.43,6.86,7.01,-6.825643684119581e-06,5.403579871664978e-06
2005-06-14,5.4,6.7,7.0,-6.944444444444445e-06,4.877014418999151e-06
2005-06-15,5.44,6.9,7.05,-6.944444444444445e-06,5.521834429269937e-06
2005-06-16,5.3,6.7,7.0,-7.4955908289241604e-06,4.877014418999151e-06
2005-06-17,5.3,6.75,7.0,-7.4955908289241604e-06,5.08905852417303e-06
2005-06-18,5.45,6.87,6.97,-6.546080964685613e-06,5.0960735171261475e-06
2005-06-19,5.45,6.87,6.97,-6.546080964685613e-06,5.0960735171261475e-06
2005-06-20,5.42,6.85,7.05,-7.052613361024578e-06,5.411804498562489e-06
2005-06-21,5.25,6.75,7.0,-7.77777777777778e-06,5.341880341880341e-06
2005-06-22,5.25,6.88,7.03,-7.911111111111115e-06,5.897435897435898e-06
2005-06-23,5.27,6.86,6.96,-7.487152223994332e-06,5.708929788684394e-06
2005-06-24,5.27,6.75,7.0,-7.664362927520825e-06,5.240286298568511e-06
2005-06-25,5.48,6.86,7.01,-6.558641975308637e-06,5.403579871664978e-06
2005-06-26,5.48,6.86,7.01,-6.558641975308637e-06,5.403579871664978e-06
2005-06-27,5.27,6.75,7.0,-7.664362927520825e-06,5.240286298568511e-06
